id_osm,intersec,radar_proximo
8169120,6,FALSE
8212731,NA,FALSE
8213207,2,FALSE
8213217,2,FALSE
8213521,3,FALSE
8307075,2,FALSE
8307077,5,FALSE
8307079,4,FALSE
8307081,3,FALSE
8366736,NA,FALSE
8366750,6,TRUE
8366763,4,FALSE
8366779,NA,FALSE
8366788,NA,FALSE
8366797,2,FALSE
8366904,5,FALSE
8366905,3,FALSE
8367304,3,FALSE
8369310,NA,FALSE
8369316,2,FALSE
8369514,2,FALSE
8369516,2,FALSE
8369517,2,FALSE
8369525,NA,FALSE
8369528,2,FALSE
8369645,NA,FALSE
8369656,1,FALSE
8370225,4,FALSE
8371450,NA,FALSE
8371487,4,FALSE
8371491,NA,FALSE
8371496,NA,TRUE
8371497,NA,FALSE
8371500,2,FALSE
8373530,1,FALSE
8375715,4,FALSE
8375719,NA,FALSE
8375721,3,FALSE
8375726,3,FALSE
8375876,1,FALSE
8375881,1,FALSE
8375884,NA,FALSE
8375888,2,FALSE
8375889,4,FALSE
8376428,NA,FALSE
8376429,NA,FALSE
8376443,NA,FALSE
8376458,3,FALSE
8376459,NA,FALSE
8377160,1,FALSE
8377164,NA,TRUE
8377499,NA,FALSE
8377517,NA,FALSE
8377533,NA,FALSE
8377541,3,FALSE
8377572,NA,FALSE
8383755,1,FALSE
8383761,NA,FALSE
8383776,2,FALSE
8383790,5,FALSE
8383882,NA,FALSE
8385482,5,FALSE
8392107,NA,FALSE
8399215,1,FALSE
8401356,NA,FALSE
8401357,NA,FALSE
8401361,NA,FALSE
8425871,3,FALSE
8425888,2,FALSE
8425893,16,TRUE
8427130,3,FALSE
8427139,3,FALSE
8430747,5,FALSE
8430751,5,FALSE
8431670,2,FALSE
8436947,NA,FALSE
8436949,NA,FALSE
8436954,NA,FALSE
8437304,NA,FALSE
8440252,2,FALSE
8440949,1,FALSE
8443059,2,FALSE
8443060,NA,FALSE
8443071,NA,FALSE
8448397,7,FALSE
8448414,2,FALSE
8449010,4,FALSE
8449021,5,FALSE
8451671,2,TRUE
8455571,6,FALSE
8456568,4,FALSE
8476519,5,FALSE
8506241,NA,FALSE
8506271,4,FALSE
8547727,4,TRUE
8547734,4,TRUE
8547744,3,TRUE
8547748,3,FALSE
8547751,NA,FALSE
8547755,3,FALSE
8547794,6,FALSE
8547798,3,FALSE
8547832,4,FALSE
8547844,NA,FALSE
8547852,5,FALSE
8547857,NA,FALSE
8547861,6,FALSE
8547865,1,FALSE
8547868,4,FALSE
8547869,5,FALSE
8547874,10,FALSE
8547877,3,FALSE
8547878,9,FALSE
8547882,3,FALSE
8547883,5,FALSE
8578310,NA,FALSE
8578317,2,FALSE
8578318,7,FALSE
8578327,4,FALSE
8578340,NA,FALSE
8578344,6,FALSE
8578345,5,FALSE
8578352,5,FALSE
8578356,1,FALSE
8578358,2,FALSE
8578361,1,TRUE
8578374,NA,FALSE
8578382,6,FALSE
8578383,3,FALSE
8578386,4,FALSE
8578387,1,FALSE
8578389,3,FALSE
8578393,3,FALSE
8578395,16,TRUE
8578408,NA,FALSE
8578420,NA,FALSE
8578537,2,FALSE
8578538,1,FALSE
8578539,3,FALSE
8578556,1,FALSE
8578559,2,FALSE
8578566,NA,FALSE
8578569,6,FALSE
8578572,3,FALSE
8578602,3,FALSE
8578611,2,FALSE
8578850,5,FALSE
8578852,4,FALSE
8578861,3,FALSE
8578866,2,FALSE
8578872,4,FALSE
8578958,5,FALSE
8578967,NA,FALSE
8578976,2,FALSE
8578978,NA,FALSE
8579009,NA,FALSE
8579021,4,TRUE
8579032,NA,FALSE
8579033,7,FALSE
8579062,NA,FALSE
8579093,NA,TRUE
8579115,2,FALSE
8579128,2,FALSE
8579133,4,FALSE
8579136,2,FALSE
8579140,2,TRUE
8579142,NA,FALSE
8579169,5,FALSE
8579178,1,FALSE
8579180,4,FALSE
8579181,7,FALSE
8579183,2,FALSE
8579184,2,FALSE
8579185,4,FALSE
8579186,8,FALSE
8579208,3,FALSE
8579210,NA,FALSE
8579215,2,FALSE
8579217,2,FALSE
8579218,2,FALSE
8579406,3,FALSE
8579409,2,FALSE
8579414,2,FALSE
8579426,2,FALSE
8579450,NA,FALSE
8579452,NA,FALSE
8579488,NA,FALSE
8579495,3,FALSE
8579499,NA,FALSE
8579514,1,FALSE
8579517,NA,FALSE
8579520,2,FALSE
8579553,2,FALSE
8579555,2,FALSE
8579565,3,FALSE
8579570,4,FALSE
8579573,5,FALSE
8579588,7,FALSE
8579591,5,FALSE
8579600,1,FALSE
8579605,4,FALSE
8579613,4,FALSE
8579641,2,FALSE
8579656,1,FALSE
8579660,3,FALSE
8579700,3,FALSE
8579723,4,FALSE
8579726,2,FALSE
8579733,2,FALSE
8579741,2,FALSE
8579743,1,FALSE
8579745,NA,FALSE
8579751,3,FALSE
8579791,5,FALSE
8579799,2,FALSE
8579807,NA,FALSE
8579810,1,FALSE
8579812,3,FALSE
8579818,5,FALSE
8579831,1,FALSE
8579842,4,FALSE
8579858,3,FALSE
8579876,NA,FALSE
8579880,5,FALSE
8579904,5,FALSE
8579908,2,FALSE
8579914,NA,FALSE
8579917,NA,FALSE
8579938,2,FALSE
8580883,1,FALSE
8580893,2,FALSE
8580929,4,FALSE
8580934,NA,FALSE
8580974,NA,FALSE
8580992,NA,FALSE
8580993,2,FALSE
8838068,6,FALSE
8838069,NA,FALSE
8838071,5,FALSE
8841627,3,FALSE
8843617,2,FALSE
8843618,1,FALSE
8843622,3,TRUE
9931242,4,FALSE
9931243,1,FALSE
9931647,4,FALSE
9931650,NA,FALSE
10266839,3,FALSE
10784741,2,FALSE
10785374,2,FALSE
10785858,5,FALSE
10786728,2,FALSE
10787528,1,FALSE
13855322,5,FALSE
13855431,3,TRUE
13855501,7,TRUE
13855540,2,FALSE
13855546,8,FALSE
13855561,NA,FALSE
13855567,NA,FALSE
13855575,NA,FALSE
13857995,6,FALSE
13857996,10,FALSE
13858008,9,FALSE
13858017,3,FALSE
13858020,5,FALSE
13858023,8,FALSE
13858041,NA,FALSE
13858044,NA,FALSE
13858047,3,FALSE
13863628,4,FALSE
13863643,1,FALSE
13863676,3,TRUE
13863688,14,FALSE
13972584,4,TRUE
13972603,4,TRUE
14047664,NA,FALSE
14047697,NA,FALSE
14047775,NA,FALSE
14047818,NA,TRUE
14047924,NA,FALSE
14048059,1,FALSE
14048124,1,FALSE
14048300,5,FALSE
14048325,2,FALSE
14048359,8,FALSE
14048436,4,FALSE
14048482,5,FALSE
14048544,NA,FALSE
14048589,1,FALSE
14048821,2,FALSE
14048940,1,FALSE
14048963,NA,FALSE
14048993,4,FALSE
