id_osm_radar,limite_velocidade,limite_velocidade_pesados,geometry
5452347526,40,NA,"c(-46.5918287, -23.4940051)"
5454258885,40,NA,"c(-46.6096609, -23.5031194)"
5457489057,90,NA,"c(-46.5519551, -23.4932584)"
5457489062,90,NA,"c(-46.5381151, -23.4837001)"
5457489065,110,90,"c(-46.5383655, -23.4840066)"
5457489066,110,90,"c(-46.5387247, -23.4844369)"
5457489079,40,NA,"c(-46.5805409, -23.5081386)"
5457489080,60,NA,"c(-46.5586833, -23.5051354)"
5457489081,60,NA,"c(-46.5588743, -23.5051579)"
5457489084,110,NA,"c(-46.5741692, -23.5104477)"
5457732472,50,NA,"c(-46.6305827, -23.5038347)"
5457732473,50,NA,"c(-46.6312789, -23.5039778)"
5457732477,50,NA,"c(-46.6290181, -23.5002284)"
5457732478,50,NA,"c(-46.6304024, -23.5002034)"
5457732479,40,NA,"c(-46.6223508, -23.5000614)"
5459575934,40,NA,"c(-46.6075156, -23.4983896)"
5459575938,40,NA,"c(-46.607221, -23.4983554)"
5459665260,50,NA,"c(-46.6122795, -23.4973074)"
5459730737,50,NA,"c(-46.6256937, -23.4984873)"
5460433111,50,NA,"c(-46.6104529, -23.4907333)"
5460433116,50,NA,"c(-46.610656, -23.490758)"
5460433120,50,NA,"c(-46.6076232, -23.4844455)"
5462391534,40,NA,"c(-46.6029767, -23.4837283)"
5462421670,50,NA,"c(-46.5917863, -23.4749941)"
5462729993,50,NA,"c(-46.6903935, -23.5651909)"
5462729994,50,NA,"c(-46.6904735, -23.5652373)"
5464618412,40,NA,"c(-46.6889972, -23.5669908)"
5464618413,50,NA,"c(-46.6839088, -23.5673655)"
5464618416,50,NA,"c(-46.6835764, -23.5673681)"
5464618417,50,NA,"c(-46.6782575, -23.5639634)"
5464618418,40,NA,"c(-46.5927532, -23.4816599)"
5467328823,60,50,"c(-46.5650513, -23.522998)"
5467328824,90,60,"c(-46.5650313, -23.5233125)"
5467328855,50,NA,"c(-46.5607234, -23.5191582)"
5467328856,50,NA,"c(-46.56097, -23.5190632)"
5467328858,90,60,"c(-46.5709022, -23.5267398)"
5467328862,60,50,"c(-46.5945102, -23.5301175)"
5467328864,50,NA,"c(-46.6295933, -23.5182978)"
5467328866,70,60,"c(-46.6456881, -23.5172246)"
5467328867,90,60,"c(-46.6458571, -23.5173955)"
5467328868,60,50,"c(-46.6476016, -23.5168782)"
5473593818,60,50,"c(-46.6618052, -23.5148707)"
5473593819,70,60,"c(-46.6618342, -23.5150826)"
5473593820,90,60,"c(-46.6616261, -23.5153681)"
5473594521,60,50,"c(-46.6757922, -23.5131031)"
5473594523,60,50,"c(-46.6769689, -23.5148446)"
5473594525,70,60,"c(-46.677242, -23.5145956)"
5473594526,90,60,"c(-46.6775884, -23.5143561)"
5473594527,90,60,"c(-46.6748098, -23.5136763)"
5474061760,90,60,"c(-46.5551975, -23.5192793)"
5474061763,60,50,"c(-46.5549532, -23.5189768)"
5475736711,40,NA,"c(-46.5565772, -23.5306008)"
5476639320,40,NA,"c(-46.6132467, -23.5409032)"
5476745331,50,NA,"c(-46.6107122, -23.5735173)"
5476745332,50,NA,"c(-46.6108119, -23.5735205)"
5476745333,50,NA,"c(-46.6109037, -23.5734614)"
5476745334,50,NA,"c(-46.6110028, -23.5734713)"
5478170508,50,NA,"c(-46.6217732, -23.595472)"
5478170509,50,NA,"c(-46.6211637, -23.5950679)"
5478170514,50,NA,"c(-46.6259428, -23.6047356)"
5478174640,50,NA,"c(-46.6155076, -23.5583455)"
5478174641,NA,NA,"c(-46.6025323, -23.5478429)"
5478174642,50,NA,"c(-46.6050413, -23.5496252)"
5478174644,50,NA,"c(-46.5860417, -23.5431368)"
5478808905,60,50,"c(-46.7322001, -23.5168421)"
5478808906,90,60,"c(-46.7246151, -23.5130078)"
5478810523,60,50,"c(-46.7109042, -23.5093572)"
5478810525,90,60,"c(-46.7067768, -23.5092853)"
5478810527,70,60,"c(-46.691598, -23.509354)"
5479057680,50,NA,"c(-46.5519901, -23.5041127)"
5480367101,50,NA,"c(-46.5336319, -23.5313916)"
5480378646,50,NA,"c(-46.5655083, -23.5385457)"
5480378647,50,NA,"c(-46.5654819, -23.5386568)"
5480407773,50,NA,"c(-46.7183806, -23.5045693)"
5480407774,40,NA,"c(-46.7310669, -23.4940793)"
5480407775,40,NA,"c(-46.7310025, -23.4940437)"
5480416674,50,NA,"c(-46.5753051, -23.5404897)"
5481336008,50,NA,"c(-46.7399606, -23.4856533)"
5481336009,50,NA,"c(-46.740112, -23.4856315)"
5483051007,50,NA,"c(-46.6465719, -23.5070852)"
5483051008,50,NA,"c(-46.6468236, -23.5068763)"
5483051015,40,NA,"c(-46.6784114, -23.502083)"
