logradouro,faixas,limite_velocidade,mao_unica,superficie,tipo_via,tamanho
ALAMEDA DAS CASSIAS,NA,NA,NA,NA,residential,263.04186900132225
ALAMEDA DAS CAVIUNAS,NA,NA,NA,NA,residential,100.67982341884867
ALAMEDA DAS CEREJEIRAS,NA,NA,NA,NA,residential,377.88542561951283
ALAMEDA DAS COTOVIAS,NA,NA,no,NA,residential,388.40044250752806
ALAMEDA DAS CURRUIRAS,NA,NA,NA,NA,residential,781.1882129268711
ALAMEDA DAS EMAS,NA,NA,NA,NA,residential,488.7280443969665
ALAMEDA DAS FIGUEIRAS,NA,NA,NA,NA,residential,415.41205813611265
ALAMEDA DAS GAIVOTAS,NA,NA,NA,asphalt,residential,1365.551495108392
ALAMEDA DAS GARCAS,NA,NA,NA,NA,residential,818.2573562931492
ALAMEDA DAS GOIABEIRAS,NA,NA,NA,asphalt,residential,87.710744387255545
ALAMEDA DAS GRALHAS,NA,NA,NA,NA,unclassified,336.4339206712102
ALAMEDA DAS GRAUNAS,NA,NA,NA,asphalt,residential,924.5207515413921
ALAMEDA DAS GRAVIUNAS,NA,NA,NA,NA,residential,97.56382006015976
ALAMEDA DAS JABOTICABEIRA,NA,NA,no,NA,residential,679.1294456386274
ALAMEDA DAS JABUTICABEIRAS,NA,NA,NA,asphalt,residential,779.3540420918125
ALAMEDA DAS LIMEIRAS,NA,NA,NA,NA,residential,197.37731092266338
ALAMEDA DAS MAGNOLIAS,2,NA,NA,asphalt,residential,216.81116374662267
ALAMEDA DAS MANGAS,NA,NA,NA,NA,residential,204.35530917927363
ALAMEDA DAS MANGUEIRAS,NA,NA,NA,asphalt,residential,131.54917200422273
ALAMEDA DAS MARITACAS,NA,NA,NA,NA,residential,932.1130142044992
ALAMEDA DAS MIRINDIBAS,NA,40,NA,asphalt,residential,318.8324587007641
ALAMEDA DAS OLIVEIRAS,2,NA,no,asphalt,residential,946.7683098208047
ALAMEDA DAS ORQUIDEAS,NA,NA,NA,unpaved,residential,424.1980344434342
ALAMEDA DAS PAINEIRAS,NA,NA,yes,asphalt,residential,2936.4760535912706
ALAMEDA DAS PALMEIRAS,NA,NA,no,asphalt,residential,1430.7614730990808
ALAMEDA DAS PAPOULAS,NA,NA,yes,NA,residential,313.7964608077726
ALAMEDA DAS PARREIRAS,NA,NA,NA,NA,residential,143.76523820741653
ALAMEDA DAS PEROBAS,NA,NA,NA,NA,residential,191.87817467471098
ALAMEDA DAS PITANGUEIRAS,NA,NA,NA,asphalt,residential,539.9994193494318
ALAMEDA DAS QUARESMEIRAS,NA,NA,no,NA,residential,674.5114855943183
ALAMEDA DAS ROLINHAS,NA,NA,NA,NA,residential,450.4818208179654
ALAMEDA DAS ROSAS,NA,NA,NA,NA,residential,1158.3957269865693
ALAMEDA DAS ROSEIRAS,NA,NA,no,NA,residential,867.2039569341517
ALAMEDA DAS SERINGUEIRAS,NA,NA,NA,NA,unclassified,710.2995974074652
ALAMEDA DAS SIBIPIRUNAS,NA,NA,NA,NA,residential,484.4571100845776
ALAMEDA DAS SIBIPURUNAS,NA,NA,NA,NA,residential,365.66177405100336
ALAMEDA DAS TULIPAS,NA,NA,NA,NA,residential,174.9813739703504
ALAMEDA DAS VIDEIRAS,NA,NA,NA,NA,residential,77.95089906865282
ALAMEDA DAS VITORIAS REGIAS,NA,NA,no,NA,residential,377.8675900858682
ALAMEDA DEL PORTO NICOLAU,NA,NA,NA,NA,residential,49.88908451310776
ALAMEDA DELFINO BARBOSA PACHECO,NA,NA,NA,NA,residential,151.79638889673842
ALAMEDA DINAMARCA,NA,NA,NA,NA,residential,314.71127381533603
ALAMEDA DINO BUENO,NA,NA,yes,asphalt,residential,927.9707199297117
ALAMEDA DO CAFE,NA,NA,yes,asphalt,service,894.1588874358006
ALAMEDA DO CASTELINHO,NA,NA,NA,NA,residential,202.80927173253082
ALAMEDA DO CONDE,NA,NA,NA,NA,residential,188.17035641027294
ALAMEDA DO FEUDO,NA,NA,NA,NA,residential,120.88476325045023
ALAMEDA DO GALO AZUL,NA,NA,NA,NA,unclassified,753.198853934118
ALAMEDA DO IMPERADOR,NA,NA,NA,asphalt,residential,302.8676432558438
ALAMEDA DO JACARANDA,NA,NA,NA,NA,residential,609.5159507506677
ALAMEDA DO JEQUITIBA,NA,NA,NA,NA,residential,619.2966116406226
ALAMEDA DO LUAR,NA,NA,NA,paved,residential,92.209309400115
ALAMEDA DO PROGRESSO,NA,NA,NA,asphalt,residential,155.87202706966693
ALAMEDA DO SORRISO,NA,NA,yes,asphalt,residential,460.99218088354246
ALAMEDA DO SOSSEGO,NA,NA,NA,paved,residential,93.79423600859309
ALAMEDA DO SUCESSO,NA,NA,NA,asphalt,residential,122.0425854102762
ALAMEDA DO TRIUNFO,NA,NA,NA,NA,residential,111.50622827664884
ALAMEDA DO VIANA,NA,NA,NA,NA,residential,211.8044877905236
ALAMEDA DOM PEDRO DE ALCANTARA,1.75,40,yes,asphalt,residential,1957.9314027643532
ALAMEDA DONA TEREZA CRISTINA,NA,40,yes,asphalt,residential,1088.1433393976604
ALAMEDA DOS AICAS,NA,30,no,asphalt,residential,1676.8544773786084
ALAMEDA DOS ANAPURUS,1,NA,no,asphalt,residential,2122.6021439951583
ALAMEDA DOS APOSTOLOS,NA,NA,NA,NA,service,189.8036052090638
ALAMEDA DOS ARAES,2,NA,NA,asphalt,residential,1644.9691711915716
ALAMEDA DOS ARAPANES,NA,NA,yes,asphalt,residential,1909.3344325041007
ALAMEDA DOS ATALAIAS,NA,NA,NA,asphalt,residential,46.335751661444604
ALAMEDA DOS AUETIS,NA,NA,no,asphalt,residential,505.37035737078855
ALAMEDA DOS BAMBUS,NA,NA,NA,unpaved,residential,1469.3097999312986
ALAMEDA DOS BANDEIRANTES,NA,NA,NA,NA,residential,2297.59906520271
ALAMEDA DOS BEIJA FLORES,NA,NA,NA,NA,residential,988.2279828812826
ALAMEDA DOS BEIJAFLORES,NA,NA,NA,NA,residential,399.2674982681926
ALAMEDA DOS BEM TE VIS,NA,NA,no,NA,residential,534.632011961378
ALAMEDA DOS BEMTEVIS,NA,NA,NA,NA,residential,183.68613977390703
ALAMEDA DOS BICUDOS,NA,NA,NA,asphalt,residential,1696.754578995415
